asleep,awake
2016-10-04T22:58:20.144,2016-10-05T05:28:24.445
2016-10-05T22:56:50.484,2016-10-06T05:53:32.290
2016-10-06T22:13:10.271,2016-10-07T06:32:54.681
2016-10-07T22:00:46.347,2016-10-08T07:06:06.785
2016-10-08T22:19:18.298,2016-10-09T05:14:46.190
2016-10-09T22:29:39.280,2016-10-10T07:12:17.951
2016-10-10T21:22:13.591,2016-10-11T05:51:12.007
2016-10-11T21:46:22.115,2016-10-12T06:31:40.357
2016-10-12T22:20:24.405,2016-10-13T07:06:44.165
2016-10-13T22:42:13.970,2016-10-14T06:40:24.310
2016-10-14T21:55:47.687,2016-10-15T06:29:24.772
2016-10-15T21:47:14.406,2016-10-16T06:01:58.742
2016-10-16T21:26:44.594,2016-10-17T06:43:35.584
2016-10-17T21:51:25.064,2016-10-18T06:09:53.203
2016-10-18T21:46:39.065,2016-10-19T05:54:10.279
2016-10-19T21:59:53.711,2016-10-20T05:55:58.742
2016-10-20T21:47:37.992,2016-10-21T05:44:54.728
2016-10-21T22:48:22.607,2016-10-22T05:35:09.248
2016-10-22T22:09:10.231,2016-10-23T05:55:05.864
2016-10-23T21:44:32.012,2016-10-24T05:21:25.422
2016-10-24T22:20:41.709,2016-10-25T06:16:44.984
2016-10-25T21:37:16.453,2016-10-26T05:24:55.876
2016-10-26T21:41:43.342,2016-10-27T06:13:59.256
2016-10-27T20:58:44.470,2016-10-28T06:24:03.695
2016-10-28T22:14:36.611,2016-10-29T06:40:04.987
2016-10-29T22:19:17.243,2016-10-30T05:32:57.775
2016-10-30T22:49:19.127,2016-10-31T06:36:43.864
2016-10-31T22:22:50.694,2016-11-01T06:03:48.251
2016-11-01T21:40:16.730,2016-11-02T06:03:53.326
2016-11-02T22:29:01.384,2016-11-03T04:42:54.661
2016-11-03T21:23:52.036,2016-11-04T05:48:13.649
2016-11-04T22:06:38.437,2016-11-05T06:21:33.610
2016-11-05T21:48:38.101,2016-11-06T06:09:16.122
2016-11-06T22:15:21.671,2016-11-07T05:59:12.004
2016-11-07T22:22:02.582,2016-11-08T05:25:55.500
2016-11-08T22:27:51.191,2016-11-09T06:44:54.756
2016-11-09T21:50:46.351,2016-11-10T06:08:37.528
2016-11-10T22:13:51.353,2016-11-11T06:11:52.718
2016-11-11T21:29:41.186,2016-11-12T05:37:23.400
2016-11-12T22:25:10.979,2016-11-13T06:08:45.301
2016-11-13T22:48:13.639,2016-11-14T05:59:13.308
2016-11-14T21:42:16.220,2016-11-15T05:02:06.435
2016-11-15T21:34:04.421,2016-11-16T06:02:23.712
2016-11-16T22:00:37.970,2016-11-17T05:43:05.048
2016-11-17T22:09:29.132,2016-11-18T05:08:37.556
2016-11-18T22:02:58.515,2016-11-19T06:39:30.478
2016-11-19T22:05:18.076,2016-11-20T06:17:38.862
2016-11-20T22:19:31.834,2016-11-21T05:35:16.595
2016-11-21T20:51:43.706,2016-11-22T06:09:32.246
2016-11-22T21:55:44.508,2016-11-23T06:29:24.413
2016-11-23T21:49:32.753,2016-11-24T05:51:07.610
2016-11-24T22:26:15.434,2016-11-25T06:00:12.511
2016-11-25T22:21:52.363,2016-11-26T05:54:52.779
2016-11-26T21:34:02.168,2016-11-27T06:08:29.327
2016-11-27T22:22:50.428,2016-11-28T05:50:23.375
2016-11-28T22:58:04.095,2016-11-29T05:55:01.879
2016-11-29T22:32:16.582,2016-11-30T05:34:42.698
2016-11-30T21:45:51.058,2016-12-01T05:58:01.048
2016-12-01T22:08:31.417,2016-12-02T05:13:03.007
2016-12-02T21:59:41.945,2016-12-03T04:43:36.017
2016-12-03T23:04:43.319,2016-12-04T05:46:25.146
2016-12-04T21:20:37.852,2016-12-05T05:47:49.496
2016-12-05T22:10:46.887,2016-12-06T05:08:41.039
2016-12-06T21:23:16.005,2016-12-07T06:39:04.749
2016-12-07T22:26:14.269,2016-12-08T06:40:47.191
2016-12-08T22:12:02.995,2016-12-09T06:22:51.882
2016-12-09T22:30:50.599,2016-12-10T04:30:46.191
2016-12-10T22:21:18.934,2016-12-11T06:14:11.734
2016-12-11T21:18:13.128,2016-12-12T06:12:57.366
2016-12-12T22:35:12.272,2016-12-13T06:29:02.862
2016-12-13T21:10:31.621,2016-12-14T06:55:46.129
2016-12-14T21:45:11.877,2016-12-15T05:12:19.377
2016-12-15T20:59:17.975,2016-12-16T05:33:29.068
2016-12-16T22:06:51.601,2016-12-17T06:13:06.079
2016-12-17T22:38:26.459,2016-12-18T06:01:16.767
2016-12-18T21:28:21.011,2016-12-19T06:19:10.446
2016-12-19T22:23:57.544,2016-12-20T05:32:30.990
2016-12-20T22:03:56.285,2016-12-21T06:28:46.251
2016-12-21T21:57:35.785,2016-12-22T05:06:01.200
2016-12-22T21:50:49.345,2016-12-23T06:07:22.432
2016-12-23T20:44:47.716,2016-12-24T05:53:42.702
2016-12-24T21:30:39.728,2016-12-25T05:27:55.319
2016-12-25T21:03:33.913,2016-12-26T05:48:28.556
2016-12-26T22:16:46.641,2016-12-27T06:00:43.896
2016-12-27T22:00:22.501,2016-12-28T06:27:47.411
2016-12-28T22:10:10.887,2016-12-29T05:21:20.367
2016-12-29T21:36:41.513,2016-12-30T06:37:13.428
2016-12-30T21:30:07.391,2016-12-31T05:46:53.882
2016-12-31T22:00:24.181,2017-01-01T05:44:36.399
